CampaignId,Campaign,Channel,CampaignType,Category,ProductGroup,Season,IsHoliday,IsPreHoliday,HolidayName,ExpectedROASMultiplier,HistoryRows,CurrentSpend,ScenarioFactor,RecommendedBudget,PredictedConversions,PredictedRevenue,PredictedProfit,PredictedROAS,AnalysisStartDate,AnalysisEndDate,OptimizationScore,BaselinePredictedRevenue,BaselinePredictedProfit,BaselinePredictedConversions,RevenueUplift,ProfitUplift,ConversionUplift,RevenueUpliftPct,RecommendedAction,RecommendationReason,BudgetChange,BudgetChangePct,ConversionModelR2,RevenueModelR2,AverageModelR2,ConfidenceLevel,ModelRecommendedAction,DecisionBasis,ROAS,TargetROAS,ROASGap,ROASGapPct,ROASStatus,BudgetSpike,BudgetSpikeWarning
9578217962,Demo Campaign 001,Demo Channel 001,Brand,Demo Category 001,İlk Adım,Winter,0,0,,1.15,116,264.11,0.75,198.09,0.1962,675.05,476.96,3.4079,2026-01-01,2026-01-31,538.8665,651.1,386.98,0.2065,23.94999999999993,89.97999999999996,-0.0102999999999999,3.68,Reduce Budget,Predicted return suggests that the campaign is overfunded.,-66.02,-25.0,0.6311,0.6658,0.6484,High,Reduce Budget,ML prediction,3.4079,3.0,0.4079000000000001,13.596666666666671,Above Target,False,
9578238131,Demo Campaign 002,Demo Channel 001,Generic,Demo Category 001,İlk Adım,Winter,0,0,,1.15,129,184.04,1.5,276.06,0.1201,507.92,231.86,1.8399,2026-01-01,2026-01-31,346.51300000000003,285.73,101.69,0.0959,222.19,130.17000000000002,0.0242,77.76,Increase Budget With ROAS Risk,"Budget increase potential exists, but predicted ROAS remains below target.",92.02,50.0,0.6311,0.6658,0.6484,High,Increase Budget With ROAS Risk,ML prediction,1.8399,3.0,-1.1601,-38.67,Below Target,True,Warning: Budget increase exceeds 50%. Monitor closely for the first 7 days.
9583350882,Demo Campaign 003,Demo Channel 001,Brand,Demo Category 002,Typo,Winter,0,0,,1.15,123,46.14,1.1,50.76,0.263,865.34,814.59,17.0485,2026-01-01,2026-01-31,1015.4795,4.32,-41.83,0.0024,861.02,856.4200000000001,0.2606,19931.02,Maintain,Predicted performance supports keeping the budget near its current level.,4.62,10.01,0.6311,0.6658,0.6484,High,Maintain,ML prediction,17.0485,3.0,14.0485,468.28333333333336,Above Target,False,
15279128835,Demo Campaign 004,Demo Channel 001,Generic,Demo Category 003,Erkek Çocuk,Winter,0,0,,1.15,210,67.07,1.0,67.07,0.0677,180.82,113.75,2.696,2026-01-01,2026-01-31,175.10150000000002,180.82,113.75,0.0677,0.0,0.0,0.0,0.0,Maintain,Predicted performance supports keeping the budget near its current level.,0.0,0.0,0.6311,0.6658,0.6484,High,Maintain,ML prediction,2.696,3.0,-0.3039999999999998,-10.133333333333328,Below Target,False,
15279271152,Demo Campaign 005,Demo Channel 001,Generic,Demo Category 001,İlk Adım Jenerik,Winter,0,0,,1.15,183,13.76,0.5,6.88,0.0411,91.49,84.61,13.2981,2026-01-01,2026-01-31,336.746,89.61,75.85,0.0386,1.8799999999999957,8.760000000000005,0.0024999999999999,2.1,Reduce Budget,Predicted return suggests that the campaign is overfunded.,-6.88,-50.0,0.6311,0.6658,0.6484,High,Reduce Budget,ML prediction,13.2981,3.0,10.2981,343.27,Above Target,False,
15284730209,Demo Campaign 006,Demo Channel 001,Brand,Demo Category 003,Erkek Bebek,Winter,0,0,,1.15,215,7.44,0.75,5.58,0.2085,288.37,282.79,51.6786,2026-01-01,2026-01-31,1262.315,260.22,252.78,0.2085,28.149999999999977,30.01000000000002,0.0,10.82,Reduce Budget,Predicted return suggests that the campaign is overfunded.,-1.86,-25.0,0.6311,0.6658,0.6484,High,Reduce Budget,ML prediction,51.6786,3.0,48.6786,1622.62,Above Target,False,
15289528968,Demo Campaign 007,Demo Channel 001,Brand,Demo Category 004,Bebek Jenerik,Winter,0,0,,1.15,216,49.89,0.75,37.42,0.6737,1307.9,1270.48,34.9513,2026-01-01,2026-01-31,1732.249,1172.91,1123.02,0.6158,134.99,147.46000000000004,0.0578999999999999,11.51,Reduce Budget,Predicted return suggests that the campaign is overfunded.,-12.47,-24.99,0.6311,0.6658,0.6484,High,Reduce Budget,ML prediction,34.9513,3.0,31.951300000000003,1065.0433333333333,Above Target,False,
15292171372,Demo Campaign 008,Demo Channel 001,Generic,Demo Category 003,Erkek Çocuk,Winter,0,0,,1.15,216,30.76,0.5,15.38,0.0812,152.91,137.53,9.9423,2026-01-01,2026-01-31,315.791,100.53,69.77,0.0492,52.38,67.76,0.0319999999999999,52.1,Reduce Budget,Predicted return suggests that the campaign is overfunded.,-15.38,-50.0,0.6311,0.6658,0.6484,High,Reduce Budget,ML prediction,9.9423,3.0,6.9423,231.41,Above Target,False,
15292647241,Demo Campaign 009,Demo Channel 001,Brand,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,92,39.48,1.25,49.35,0.0974,393.34,343.99,7.9704,2026-01-01,2026-01-31,456.8075,271.02,231.54,0.0914,122.32,112.45000000000002,0.006,45.13,Increase Budget,Predicted ROAS meets the target. Controlled scaling is recommended.,9.87,25.0,0.6311,0.6658,0.6484,High,Increase Budget,ML prediction,7.9704,3.0,4.9704,165.67999999999998,Above Target,False,
15295133735,Demo Campaign 010,Demo Channel 001,Brand,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,88,190.4,1.25,238.0,0.1932,518.16,280.16,2.1771,2026-01-01,2026-01-31,374.77,254.38,63.98,0.1178,263.78,216.18000000000004,0.0754,103.7,Increase Budget With ROAS Risk,"Budget increase potential exists, but predicted ROAS remains below target.",47.6,25.0,0.6311,0.6658,0.6484,High,Increase Budget With ROAS Risk,ML prediction,2.1771,3.0,-0.8229000000000002,-27.430000000000003,Below Target,False,
15295341491,Demo Campaign 011,Demo Channel 001,Generic,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,49,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Review,No active spend detected. Manual review is required.,0.0,0.0,0.6311,0.6658,0.6484,High,Review,ML prediction,0.0,3.0,-3.0,-100.0,Below Target,False,
15295405667,Demo Campaign 012,Demo Channel 001,Brand,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,172,15.62,0.75,11.71,0.0649,175.78,164.06,15.0045,2026-01-01,2026-01-31,436.612,192.27,176.65,0.0657,-16.49000000000001,-12.590000000000003,-0.0007999999999999,-8.58,Reduce Budget,Predicted return suggests that the campaign is overfunded.,-3.91,-25.03,0.6311,0.6658,0.6484,High,Reduce Budget,ML prediction,15.0045,3.0,12.0045,400.15,Above Target,False,
17566003095,Demo Campaign 013,Demo Channel 001,Brand,Demo Category 006,Trendyol,Winter,0,0,,1.15,69,0.0,0.75,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Review,No active spend detected. Manual review is required.,0.0,0.0,0.6311,0.6658,0.6484,High,Review,ML prediction,0.0,3.0,-3.0,-100.0,Below Target,False,
20475545240,Demo Campaign 014,Demo Channel 001,Brand,Demo Category 007,Ortopedik,Winter,0,0,,1.15,61,78.61,1.25,98.27,0.1125,296.32,198.06,3.0155,2026-01-01,2026-01-31,262.975,193.91,115.3,0.1008,102.41,82.76,0.0117,52.81,Increase Budget,Predicted ROAS meets the target. Controlled scaling is recommended.,19.66,25.01,0.6311,0.6658,0.6484,High,Increase Budget,ML prediction,3.0155,3.0,0.0154999999999998,0.5166666666666615,On Target,False,
20489229803,Demo Campaign 015,Demo Channel 001,Generic,Demo Category 008,Okul Ayakkabısı,Winter,0,0,,1.15,61,21.39,0.5,10.7,0.0775,217.3,206.61,20.3181,2026-01-01,2026-01-31,576.4605000000001,146.67,125.28,0.0613,70.63000000000002,81.33000000000001,0.0162,48.16,Reduce Budget,Predicted return suggests that the campaign is overfunded.,-10.69,-49.98,0.6311,0.6658,0.6484,High,Reduce Budget,ML prediction,20.3181,3.0,17.3181,577.27,Above Target,False,
20686387846,Demo Campaign 016,Demo Channel 001,Generic,Demo Category 009,8 Yaş Ayakkabı,Winter,0,0,,1.15,96,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Review,No active spend detected. Manual review is required.,0.0,0.0,0.6311,0.6658,0.6484,High,Review,ML prediction,0.0,3.0,-3.0,-100.0,Below Target,False,
