CampaignId,Campaign,Channel,CampaignType,Category,ProductGroup,Season,IsHoliday,IsPreHoliday,HolidayName,ExpectedROASMultiplier,HistoryRows,CurrentSpend,ScenarioFactor,ScenarioSpend,PredictedConversions,PredictedRevenue,PredictedProfit,PredictedROAS,AnalysisStartDate,AnalysisEndDate
9578217962,Demo Campaign 001,Demo Channel 001,Brand,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,264.11,0.75,198.09,0.1962,675.05,476.96,3.4079,2026-01-01,2026-01-31
9578217962,Demo Campaign 001,Demo Channel 001,Brand,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,264.11,0.9,237.7,0.2065,652.07,414.37,2.7432,2026-01-01,2026-01-31
9578217962,Demo Campaign 001,Demo Channel 001,Brand,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,264.11,1.0,264.11,0.2065,651.1,386.98,2.4652,2026-01-01,2026-01-31
9578217962,Demo Campaign 001,Demo Channel 001,Brand,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,264.11,1.1,290.53,0.2012,654.69,364.17,2.2535,2026-01-01,2026-01-31
9578217962,Demo Campaign 001,Demo Channel 001,Brand,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,264.11,1.25,330.14,0.2065,664.79,334.65,2.0137,2026-01-01,2026-01-31
9578238131,Demo Campaign 002,Demo Channel 001,Generic,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,184.04,0.5,92.02,0.1057,279.88,187.86,3.0415,2026-01-01,2026-01-31
9578238131,Demo Campaign 002,Demo Channel 001,Generic,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,184.04,0.75,138.03,0.1038,265.73,127.7,1.9252,2026-01-01,2026-01-31
9578238131,Demo Campaign 002,Demo Channel 001,Generic,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,184.04,1.0,184.04,0.0959,285.73,101.69,1.5526,2026-01-01,2026-01-31
9578238131,Demo Campaign 002,Demo Channel 001,Generic,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,184.04,1.2,220.85,0.1059,414.63,193.78,1.8775,2026-01-01,2026-01-31
9578238131,Demo Campaign 002,Demo Channel 001,Generic,Demo Category 001,İlk Adım,Winter,0,0,,1.15,0,184.04,1.5,276.06,0.1201,507.92,231.86,1.8399,2026-01-01,2026-01-31
