Category,Season,Spend,Clicks,Impressions,Conversions,ConversionValue,CTR,CPC,ConvRate,CPA,ROAS,Profit,AnalysisStartDate,AnalysisEndDate
Demo Category 013,Winter,40518.355176,32657,76795,1019.27529,2251397.067433103,0.4252490396510189,1.240724964816119,0.0312115408641332,39.75212150585932,55.56486825917997,2210878.712257103,2026-01-01,2026-01-31
Demo Category 014,Winter,28325.926157,6508,27796,117.983657,238614.437775767,0.2341344078284645,4.352477897510756,0.0181290192071296,240.083473230534,8.42388829418027,210288.511618767,2026-01-01,2026-01-31
Demo Category 001,Winter,12928.074199,3504,14202,51.003188,101660.962932021,0.2467258132657372,3.689518892408676,0.0145557043378995,253.47580623783756,7.8635813321588595,88732.88873302101,2026-01-01,2026-01-31
Demo Category 005,Winter,16271.59094,3254,25404,35.36262,86016.60457596,0.1280900645567627,5.000488918254456,0.0108674308543331,460.1353332982681,5.286305739441112,69745.01363596,2026-01-01,2026-01-31
Demo Category 015,Winter,19172.792762,3094,35322,34.97131,84159.576822601,0.087594133967499,6.196765598577893,0.0113029444085326,548.2434819284722,4.38953145049391,64986.784060601,2026-01-01,2026-01-31
Demo Category 002,Winter,1682.851533,1053,3280,31.854378,69063.67756968,0.3210365853658536,1.598149603988604,0.0302510712250712,52.82952104731098,41.03967356321742,67380.82603668001,2026-01-01,2026-01-31
Demo Category 003,Winter,8964.696461,1772,13943,29.365668,49729.337864642,0.1270888617944488,5.059083781602708,0.0165720474040632,305.27813843703467,5.547241680851597,40764.641403642,2026-01-01,2026-01-31
Demo Category 004,Winter,8496.73269,1675,15971,24.948436,43059.273006153,0.1048775906330223,5.072676232835821,0.0148945886567164,340.5717572837031,5.067744811700437,34562.540316153,2026-01-01,2026-01-31
Demo Category 016,Winter,4337.583644,521,3414,7.127198,14321.7466284,0.1526069127123608,8.325496437619963,0.0136798426103646,608.5959228297012,3.301779931831557,9984.1629844,2026-01-01,2026-01-31
Demo Category 017,Winter,493.702258,269,3181,2.0,6519.66,0.0845646023263124,1.8353243791821563,0.0074349442379182,246.851129,13.205651573098535,6025.957742,2026-01-01,2026-01-31
Demo Category 007,Winter,2185.072182,511,3323,2.018441,3883.04250738,0.1537767077941619,4.276070806262231,0.0039499823874755,1082.554398171658,1.777077452803342,1697.9703253800003,2026-01-01,2026-01-31
Demo Category 006,Winter,11.640858,6,50,1.0,2431.75,0.12,1.940143,0.1666666666666666,11.640858,208.89783210137944,2420.109142,2026-01-01,2026-01-31
Demo Category 010,Winter,5725.912645,2490,588361,1.0,2142.6,0.00423209560117,2.29956331124498,0.0004016064257028,5725.912645,0.3741936234166911,-3583.3126450000004,2026-01-01,2026-01-31
Demo Category 018,Winter,36.459082,26,311,0.0,0.0,0.0836012861736334,1.4022723846153846,0.0,0.0,0.0,-36.459082,2026-01-01,2026-01-31
Demo Category 019,Winter,0.0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 020,Winter,0.0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 021,Winter,10.38,6,70,0.0,0.0,0.0857142857142857,1.7299999999999998,0.0,0.0,0.0,-10.38,2026-01-01,2026-01-31
Demo Category 022,Winter,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 023,Winter,1812.180841,384,3782,0.0,0.0,0.1015335801163405,4.719220940104167,0.0,0.0,0.0,-1812.180841,2026-01-01,2026-01-31
Demo Category 024,Winter,0.0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 025,Winter,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 026,Winter,0.0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 027,Winter,0.0,0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 009,Winter,0.0,0,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 028,Winter,0.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 029,Winter,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 012,Winter,6801.337253,1897,218793,0.0,0.0,0.0086702956675944,3.585312205060622,0.0,0.0,0.0,-6801.337253,2026-01-01,2026-01-31
Demo Category 030,Winter,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 008,Winter,692.070735,80,1397,0.0,0.0,0.0572655690765927,8.6508841875,0.0,0.0,0.0,-692.070735,2026-01-01,2026-01-31
Demo Category 031,Winter,157.951725,83,1210,0.0,0.0,0.068595041322314,1.903032831325301,0.0,0.0,0.0,-157.951725,2026-01-01,2026-01-31
Demo Category 011,Winter,3533.02817,3838,255137,0.0,0.0,0.0150428985211866,0.920538866597186,0.0,0.0,0.0,-3533.02817,2026-01-01,2026-01-31
Demo Category 032,Winter,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
