Feature,Importance,Model,AnalysisStartDate,AnalysisEndDate
Spend_lag_7_avg,0.5571654808093788,Revenue,2026-01-01,2026-01-31
Spend_lag_7_avg,0.555145872258032,Conversions,2026-01-01,2026-01-31
ConversionValue_lag_7_avg,0.1637106366216103,Conversions,2026-01-01,2026-01-31
ConversionValue_lag_7_avg,0.1492071299385181,Revenue,2026-01-01,2026-01-31
Conversions_lag_7_avg,0.1227599416043046,Revenue,2026-01-01,2026-01-31
Conversions_lag_7_avg,0.1022573918741606,Conversions,2026-01-01,2026-01-31
Clicks_lag_7_avg,0.0449455461716061,Conversions,2026-01-01,2026-01-31
CPA_lag_1,0.0368941426959087,Revenue,2026-01-01,2026-01-31
CPA_lag_1,0.0277494265542404,Conversions,2026-01-01,2026-01-31
Clicks_lag_7_avg,0.0262660099404659,Revenue,2026-01-01,2026-01-31
DayOfMonth,0.0218628838643031,Conversions,2026-01-01,2026-01-31
DayOfMonth,0.0192485076404699,Revenue,2026-01-01,2026-01-31
ConvRate_lag_1,0.0109043000783925,Conversions,2026-01-01,2026-01-31
ConvRate_lag_1,0.0107427676474524,Revenue,2026-01-01,2026-01-31
ROAS,0.009561225437509,Conversions,2026-01-01,2026-01-31
CTR,0.0089802007051015,Conversions,2026-01-01,2026-01-31
CTR,0.0089390729756745,Revenue,2026-01-01,2026-01-31
CPC,0.0081649724622782,Revenue,2026-01-01,2026-01-31
CTR_lag_1,0.008117082969383,Conversions,2026-01-01,2026-01-31
CTR_lag_1,0.007840300361774,Revenue,2026-01-01,2026-01-31
ROAS,0.0069819426976794,Revenue,2026-01-01,2026-01-31
Spend_lag_1,0.0065144506021849,Conversions,2026-01-01,2026-01-31
CPC,0.0061153906906976,Conversions,2026-01-01,2026-01-31
Spend_lag_1,0.0059656346156805,Revenue,2026-01-01,2026-01-31
Impressions,0.0055796037987782,Conversions,2026-01-01,2026-01-31
Impressions,0.0054579711687437,Revenue,2026-01-01,2026-01-31
Clicks_lag_1,0.0053736287610095,Conversions,2026-01-01,2026-01-31
ConvRate,0.0050714615334282,Revenue,2026-01-01,2026-01-31
Spend,0.0038381340815202,Conversions,2026-01-01,2026-01-31
Spend,0.0037220669278223,Revenue,2026-01-01,2026-01-31
Clicks_lag_1,0.0035931147615881,Revenue,2026-01-01,2026-01-31
Profit,0.003350351644525,Revenue,2026-01-01,2026-01-31
ConvRate,0.0032091915939295,Conversions,2026-01-01,2026-01-31
Conversions_lag_1,0.0029036929298409,Revenue,2026-01-01,2026-01-31
CampaignId,0.0024435239593418,Revenue,2026-01-01,2026-01-31
Clicks,0.0022882386025689,Conversions,2026-01-01,2026-01-31
Clicks,0.0020484648539157,Revenue,2026-01-01,2026-01-31
ROAS_lag_1,0.0020356964998543,Conversions,2026-01-01,2026-01-31
DayOfWeek,0.0018257167861376,Conversions,2026-01-01,2026-01-31
ConversionValue_lag_1,0.0017603038218075,Revenue,2026-01-01,2026-01-31
ROAS_lag_1,0.0017454605321942,Revenue,2026-01-01,2026-01-31
ExpectedROASMultiplier,0.0017105018531213,Revenue,2026-01-01,2026-01-31
Profit,0.0016968139589839,Conversions,2026-01-01,2026-01-31
IsHoliday,0.0015835707063974,Revenue,2026-01-01,2026-01-31
DayOfWeek,0.0015489486470707,Revenue,2026-01-01,2026-01-31
ConversionValue_lag_1,0.001391923287317,Conversions,2026-01-01,2026-01-31
Conversions_lag_1,0.0012944681401707,Conversions,2026-01-01,2026-01-31
ExpectedROASMultiplier,0.0011847734619923,Conversions,2026-01-01,2026-01-31
CampaignId,0.0011274383593528,Conversions,2026-01-01,2026-01-31
IsWeekend,0.0011243793863628,Revenue,2026-01-01,2026-01-31
CPA,0.0009540324424059,Conversions,2026-01-01,2026-01-31
IsWeekend,0.0007010516120514,Conversions,2026-01-01,2026-01-31
WeekOfYear,0.0006628156784466,Revenue,2026-01-01,2026-01-31
WeekOfYear,0.0005525404466356,Conversions,2026-01-01,2026-01-31
DaysAfterHoliday,0.0005166073398366,Conversions,2026-01-01,2026-01-31
DaysAfterHoliday,0.0005102765411274,Revenue,2026-01-01,2026-01-31
CPA,0.00039394956019,Revenue,2026-01-01,2026-01-31
IsPostHoliday,0.0003793496120129,Conversions,2026-01-01,2026-01-31
Conversions,0.0001787765150627,Revenue,2026-01-01,2026-01-31
Conversions,0.0001479848588119,Conversions,2026-01-01,2026-01-31
ConversionValue,1.9841834522126823e-05,Conversions,2026-01-01,2026-01-31
IsHoliday,1.855669488589041e-05,Conversions,2026-01-01,2026-01-31
ConversionValue,1.1344772167066395e-05,Revenue,2026-01-01,2026-01-31
IsPostHoliday,3.120817260227021e-06,Revenue,2026-01-01,2026-01-31
DaysToHoliday,0.0,Conversions,2026-01-01,2026-01-31
SeasonROASMultiplier,0.0,Conversions,2026-01-01,2026-01-31
MonthNum,0.0,Conversions,2026-01-01,2026-01-31
Quarter,0.0,Conversions,2026-01-01,2026-01-31
Year,0.0,Conversions,2026-01-01,2026-01-31
IsPreHoliday,0.0,Conversions,2026-01-01,2026-01-31
MonthNum,0.0,Revenue,2026-01-01,2026-01-31
Quarter,0.0,Revenue,2026-01-01,2026-01-31
IsPreHoliday,0.0,Revenue,2026-01-01,2026-01-31
Year,0.0,Revenue,2026-01-01,2026-01-31
DaysToHoliday,0.0,Revenue,2026-01-01,2026-01-31
SeasonROASMultiplier,0.0,Revenue,2026-01-01,2026-01-31
