Category,ProductGroup,Campaign,Spend,Clicks,Impressions,Conversions,ConversionValue,CTR,CPC,ConvRate,CPA,ROAS,Profit,AnalysisStartDate,AnalysisEndDate
Demo Category 013,Exact Match,Demo Campaign 003,40518.355176,32657,76795,1019.27529,2251397.067433103,0.4252490396510189,1.240724964816119,0.0312115408641332,39.75212150585932,55.56486825917997,2210878.712257103,2026-01-01,2026-01-31
Demo Category 014,Jenerik Kategori,Demo Campaign 007,20656.239829,5461,21983,104.057497,216648.882041167,0.2484192330437156,3.782501342061893,0.019054659769273,198.5079444011612,10.488302025667142,195992.642212167,2026-01-01,2026-01-31
Demo Category 002,Typo,Demo Campaign 003,1682.851533,1053,3280,31.854378,69063.67756968,0.3210365853658536,1.598149603988604,0.0302510712250712,52.82952104731098,41.03967356321742,67380.82603668001,2026-01-01,2026-01-31
Demo Category 001,İlk Adım,Demo Campaign 001,5571.631681,2122,5712,28.892142,58455.01962812,0.3714985994397759,2.625651122054665,0.0136155240339302,192.84245802889933,10.4915441247596,52883.38794712,2026-01-01,2026-01-31
Demo Category 015,Çocuk Jenerik,Demo Campaign 007,6976.428586,1360,6304,13.148716,29605.308805021,0.215736040609137,5.129726901470589,0.0096681735294117,530.5786957448925,4.243619559789041,22628.880219021,2026-01-01,2026-01-31
Demo Category 001,İlk Adım,Demo Campaign 002,5115.993324,954,5659,14.111046,27384.543303901,0.1685810213818696,5.3626764402515725,0.0147914528301886,362.5523808794897,5.3527324157041845,22268.549979901,2026-01-01,2026-01-31
Demo Category 004,Bebek Jenerik,Demo Campaign 008,3147.679677,586,7614,14.63643,27360.77816984,0.076963488311006,5.37146702559727,0.0249768430034129,215.05788481207503,8.6923642102989,24213.09849284,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 010,5879.719799,1212,8322,10.079644,24815.7660912,0.1456380677721701,4.851253959570958,0.0083165379537953,583.3261372127826,4.220569506632028,18936.0462922,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 007,2460.856834,625,1884,12.872802,23186.36333277,0.3317409766454352,3.9373709344,0.0205964832,191.16714713704133,9.422069180303238,20725.506498770003,2026-01-01,2026-01-31
Demo Category 015,Çocuk Jenerik,Demo Campaign 008,5562.941858,1027,17375,7.0,22377.94,0.0591079136690647,5.416691195715677,0.0068159688412852,794.7059797142857,4.022680907192757,16814.998141999997,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 007,3212.356239,724,2432,8.314976,20246.94243136,0.2976973684210526,4.436956131215469,0.0114847734806629,386.3337956718095,6.302832228116404,17034.58619236,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 008,1530.003264,290,5396,6.0,15508.67,0.0537435137138621,5.2758733241379305,0.0206896551724137,255.000544,10.13636399667184,13978.666736,2026-01-01,2026-01-31
Demo Category 016,Kreş Ayakkabısı,Demo Campaign 015,4337.583644,521,3414,7.127198,14321.7466284,0.1526069127123608,8.325496437619963,0.0136798426103646,608.5959228297012,3.301779931831557,9984.1629844,2026-01-01,2026-01-31
Demo Category 014,Jenerik Kategori,Demo Campaign 006,2178.729628,355,1694,6.973698,13168.8018338,0.2095631641086186,6.137266557746479,0.0196442197183098,312.4209892656665,6.044257013151519,10990.0722058,2026-01-01,2026-01-31
