CampaignId,Campaign,Channel,CampaignType,Category,ProductGroup,Season,IsHoliday,IsPreHoliday,HolidayName,ExpectedROASMultiplier,CurrentSpend,RecommendedBudget,OptimizedPortfolioBudget,BudgetChange,BudgetChangePct,PortfolioBudgetChange,PortfolioBudgetChangePct,RecommendedAction,ModelRecommendedAction,DecisionBasis,ConfidenceLevel,HistoryRows,ConversionModelR2,RevenueModelR2,AverageModelR2,PredictedConversions,PredictedRevenue,PredictedProfit,PredictedROAS,TargetROAS,ROASStatus,ROASGap,ROASGapPct,BaselinePredictedRevenue,RevenueUplift,RevenueUpliftPct,BudgetSpike,BudgetSpikeWarning,RecommendationReason,ExecutiveCommentary,AnalysisStartDate,AnalysisEndDate
9578217962,Demo Campaign 001,Demo Channel 001,Brand,Demo Category 001,İlk Adım,Winter,0,0,,1.15,264.11,198.09,200.04,-66.02,-25.0,-64.07,-24.26,Reduce Budget,Reduce Budget,ML prediction,High,116,0.6311,0.6658,0.6484,0.1962,675.05,476.96,3.4079,3.0,Above Target,0.4079000000000001,13.596666666666671,651.1,23.94999999999993,3.68,False,,Predicted return suggests that the campaign is overfunded.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
9578238131,Demo Campaign 002,Demo Channel 001,Generic,Demo Category 001,İlk Adım,Winter,0,0,,1.15,184.04,276.06,278.75,92.02,50.0,94.71,51.46,Increase Budget With ROAS Risk,Increase Budget With ROAS Risk,ML prediction,High,129,0.6311,0.6658,0.6484,0.1201,507.92,231.86,1.8399,3.0,Below Target,-1.1601,-38.67,285.73,222.19,77.76,True,Warning: Budget increase exceeds 50%. Monitor closely for the first 7 days.,"Budget increase potential exists, but predicted ROAS remains below target.",AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
9583350882,Demo Campaign 003,Demo Channel 001,Brand,Demo Category 002,Typo,Winter,0,0,,1.15,46.14,50.76,51.26,4.62,10.01,5.12,11.1,Maintain,Maintain,ML prediction,High,123,0.6311,0.6658,0.6484,0.263,865.34,814.59,17.0485,3.0,Above Target,14.0485,468.28333333333336,4.32,861.02,19931.02,False,,Predicted performance supports keeping the budget near its current level.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15279128835,Demo Campaign 004,Demo Channel 001,Generic,Demo Category 003,Erkek Çocuk,Winter,0,0,,1.15,67.07,67.07,67.73,0.0,0.0,0.66,0.98,Maintain,Maintain,ML prediction,High,210,0.6311,0.6658,0.6484,0.0677,180.82,113.75,2.696,3.0,Below Target,-0.3039999999999998,-10.133333333333328,180.82,0.0,0.0,False,,Predicted performance supports keeping the budget near its current level.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15279271152,Demo Campaign 005,Demo Channel 001,Generic,Demo Category 001,İlk Adım Jenerik,Winter,0,0,,1.15,13.76,6.88,6.95,-6.88,-50.0,-6.81,-49.49,Reduce Budget,Reduce Budget,ML prediction,High,183,0.6311,0.6658,0.6484,0.0411,91.49,84.61,13.2981,3.0,Above Target,10.2981,343.27,89.61,1.8799999999999957,2.1,False,,Predicted return suggests that the campaign is overfunded.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15284730209,Demo Campaign 006,Demo Channel 001,Brand,Demo Category 003,Erkek Bebek,Winter,0,0,,1.15,7.44,5.58,5.63,-1.86,-25.0,-1.81,-24.33,Reduce Budget,Reduce Budget,ML prediction,High,215,0.6311,0.6658,0.6484,0.2085,288.37,282.79,51.6786,3.0,Above Target,48.6786,1622.62,260.22,28.149999999999977,10.82,False,,Predicted return suggests that the campaign is overfunded.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15289528968,Demo Campaign 007,Demo Channel 001,Brand,Demo Category 004,Bebek Jenerik,Winter,0,0,,1.15,49.89,37.42,37.79,-12.47,-24.99,-12.1,-24.25,Reduce Budget,Reduce Budget,ML prediction,High,216,0.6311,0.6658,0.6484,0.6737,1307.9,1270.48,34.9513,3.0,Above Target,31.951300000000003,1065.0433333333333,1172.91,134.99,11.51,False,,Predicted return suggests that the campaign is overfunded.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15292171372,Demo Campaign 008,Demo Channel 001,Generic,Demo Category 003,Erkek Çocuk,Winter,0,0,,1.15,30.76,15.38,15.53,-15.38,-50.0,-15.23,-49.51,Reduce Budget,Reduce Budget,ML prediction,High,216,0.6311,0.6658,0.6484,0.0812,152.91,137.53,9.9423,3.0,Above Target,6.9423,231.41,100.53,52.38,52.1,False,,Predicted return suggests that the campaign is overfunded.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15292647241,Demo Campaign 009,Demo Channel 001,Brand,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,39.48,49.35,49.83,9.87,25.0,10.35,26.22,Increase Budget,Increase Budget,ML prediction,High,92,0.6311,0.6658,0.6484,0.0974,393.34,343.99,7.9704,3.0,Above Target,4.9704,165.67999999999998,271.02,122.32,45.13,False,,Predicted ROAS meets the target. Controlled scaling is recommended.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15295133735,Demo Campaign 010,Demo Channel 001,Brand,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,190.4,238.0,240.34,47.6,25.0,49.94,26.23,Increase Budget With ROAS Risk,Increase Budget With ROAS Risk,ML prediction,High,88,0.6311,0.6658,0.6484,0.1932,518.16,280.16,2.1771,3.0,Below Target,-0.8229000000000002,-27.430000000000003,254.38,263.78,103.7,False,,"Budget increase potential exists, but predicted ROAS remains below target.",AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15295341491,Demo Campaign 011,Demo Channel 001,Generic,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Review,Review,ML prediction,High,49,0.6311,0.6658,0.6484,0.0,0.0,0.0,0.0,3.0,Below Target,-3.0,-100.0,0.0,0.0,0.0,False,,No active spend detected. Manual review is required.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
15295405667,Demo Campaign 012,Demo Channel 001,Brand,Demo Category 005,Kız Çocuk,Winter,0,0,,1.15,15.62,11.71,11.83,-3.91,-25.03,-3.79,-24.26,Reduce Budget,Reduce Budget,ML prediction,High,172,0.6311,0.6658,0.6484,0.0649,175.78,164.06,15.0045,3.0,Above Target,12.0045,400.15,192.27,-16.49000000000001,-8.58,False,,Predicted return suggests that the campaign is overfunded.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
17566003095,Demo Campaign 013,Demo Channel 001,Brand,Demo Category 006,Trendyol,Winter,0,0,,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Review,Review,ML prediction,High,69,0.6311,0.6658,0.6484,0.0,0.0,0.0,0.0,3.0,Below Target,-3.0,-100.0,0.0,0.0,0.0,False,,No active spend detected. Manual review is required.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
20475545240,Demo Campaign 014,Demo Channel 001,Brand,Demo Category 007,Ortopedik,Winter,0,0,,1.15,78.61,98.27,99.24,19.66,25.01,20.63,26.24,Increase Budget,Increase Budget,ML prediction,High,61,0.6311,0.6658,0.6484,0.1125,296.32,198.06,3.0155,3.0,On Target,0.0154999999999998,0.5166666666666615,193.91,102.41,52.81,False,,Predicted ROAS meets the target. Controlled scaling is recommended.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
20489229803,Demo Campaign 015,Demo Channel 001,Generic,Demo Category 008,Okul Ayakkabısı,Winter,0,0,,1.15,21.39,10.7,10.81,-10.69,-49.98,-10.58,-49.46,Reduce Budget,Reduce Budget,ML prediction,High,61,0.6311,0.6658,0.6484,0.0775,217.3,206.61,20.3181,3.0,Above Target,17.3181,577.27,146.67,70.63000000000002,48.16,False,,Predicted return suggests that the campaign is overfunded.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
20686387846,Demo Campaign 016,Demo Channel 001,Generic,Demo Category 009,8 Yaş Ayakkabı,Winter,0,0,,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Review,Review,ML prediction,High,96,0.6311,0.6658,0.6484,0.0,0.0,0.0,0.0,3.0,Below Target,-3.0,-100.0,0.0,0.0,0.0,False,,No active spend detected. Manual review is required.,AI commentary is unavailable. Use the rule-based recommendation and confidence level for decision-making.,2026-01-01,2026-01-31
