Week,Campaign,Channel,Category,Season,Spend,Clicks,Impressions,Conversions,ConversionValue,CTR,CPC,ConvRate,CPA,ROAS,Profit,AnalysisStartDate,AnalysisEndDate
2025-12-29/2026-01-04,Demo Campaign 020,Demo Channel 003,Demo Category 010,Winter,789.53463,79,31985,0.0,0.0,0.0024699077692668,9.99410924050633,0.0,0.0,0.0,-789.53463,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 020,Demo Channel 003,Demo Category 012,Winter,1345.650569,139,51375,0.0,0.0,0.0027055961070559,9.68093934532374,0.0,0.0,0.0,-1345.650569,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 007,Demo Channel 001,Demo Category 004,Winter,324.14137500000004,94,285,2.20331,3936.722905913,0.3298245614035088,3.448312500000001,0.0234394680851063,147.11564645919097,12.145079923576551,3612.581530913,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 007,Demo Channel 001,Demo Category 003,Winter,355.697299,80,310,3.0,7019.46,0.2580645161290322,4.4462162375,0.0375,118.56576633333331,19.73436407792346,6663.762701,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 007,Demo Channel 001,Demo Category 014,Winter,4256.663846,1070,4514,26.5,66531.599982504,0.2370403190075321,3.978190510280373,0.0247663551401869,160.62882437735848,15.62998686049028,62274.93613650401,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 007,Demo Channel 001,Demo Category 005,Winter,625.88144,132,510,0.09694,170.595012,0.2588235294117647,4.741526060606061,0.0007343939393939,6456.379616257479,0.2725676160008835,-455.286428,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 007,Demo Channel 001,Demo Category 015,Winter,1575.085743,278,1181,0.25,566.699991252,0.235393734123624,5.665776053956835,0.0008992805755395,6300.342972,0.3597899312913786,-1008.385751748,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 001,Demo Channel 001,Demo Category 004,Winter,89.613096,19,65,0.0,0.0,0.2923076923076923,4.716478736842105,0.0,0.0,0.0,-89.613096,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 001,Demo Channel 001,Demo Category 003,Winter,95.488974,26,82,0.0,0.0,0.3170731707317073,3.672652846153846,0.0,0.0,0.0,-95.488974,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 001,Demo Channel 001,Demo Category 005,Winter,16.71,3,41,0.0,0.0,0.073170731707317,5.57,0.0,0.0,0.0,-16.71,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 001,Demo Channel 001,Demo Category 001,Winter,968.392866,232,634,3.0,4606.4,0.3659305993690852,4.174107181034483,0.0129310344827586,322.797622,4.756747144397076,3638.007134,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 014,Demo Channel 001,Demo Category 023,Winter,446.987809,77,715,0.0,0.0,0.1076923076923077,5.8050364805194805,0.0,0.0,0.0,-446.987809,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 014,Demo Channel 001,Demo Category 007,Winter,360.29631,69,553,0.0,0.0,0.1247739602169981,5.221685652173913,0.0,0.0,0.0,-360.29631,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 012,Demo Channel 001,Demo Category 004,Winter,10.81,1,5,0.0,0.0,0.2,10.81,0.0,0.0,0.0,-10.81,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 012,Demo Channel 001,Demo Category 003,Winter,25.502257,10,37,0.0,0.0,0.2702702702702703,2.5502257,0.0,0.0,0.0,-25.502257,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 012,Demo Channel 001,Demo Category 014,Winter,114.532846,21,122,0.0,0.0,0.1721311475409836,5.453945047619047,0.0,0.0,0.0,-114.532846,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 012,Demo Channel 001,Demo Category 005,Winter,72.23,7,24,0.0,0.0,0.2916666666666667,10.31857142857143,0.0,0.0,0.0,-72.23,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 012,Demo Channel 001,Demo Category 015,Winter,13.26,3,40,0.0,0.0,0.075,4.42,0.0,0.0,0.0,-13.26,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 012,Demo Channel 001,Demo Category 001,Winter,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 009,Demo Channel 001,Demo Category 014,Winter,432.401012,44,232,0.0,0.0,0.1896551724137931,9.827295727272729,0.0,0.0,0.0,-432.401012,2026-01-01,2026-01-31
